iter	Passed	Remaining
0	63	63798
1	70	34956
2	75	25096
3	81	20173
4	86	17212
5	91	15180
6	97	13884
7	103	12877
8	110	12174
9	116	11497
10	122	11035
11	128	10555
12	134	10239
13	140	9879
14	146	9620
15	151	9310
16	157	9098
17	162	8890
18	168	8693
19	175	8584
20	181	8448
21	187	8316
22	191	8118
23	198	8087
24	204	7957
25	207	7758
26	213	7681
27	218	7592
28	224	7514
29	230	7440
30	235	7363
31	240	7278
32	246	7211
33	251	7151
34	257	7087
35	262	7030
36	272	7092
37	278	7043
38	283	6985
39	289	6936
40	294	6896
41	296	6773
42	302	6727
43	308	6707
44	314	6666
45	320	6645
46	325	6596
47	330	6559
48	336	6525
49	341	6494
50	347	6458
51	352	6432
52	357	6395
53	363	6365
54	368	6339
55	374	6311
56	379	6279
57	385	6255
58	390	6232
59	396	6208
60	401	6186
61	407	6165
62	412	6135
63	418	6123
64	423	6096
65	429	6072
66	434	6055
67	440	6033
68	445	6011
69	451	5991
70	456	5970
71	461	5952
72	466	5926
73	471	5903
74	477	5884
75	481	5858
76	486	5832
77	491	5814
78	497	5802
79	502	5779
80	508	5765
81	514	5762
82	520	5745
83	525	5729
84	531	5726
85	538	5717
86	543	5702
87	549	5692
88	554	5677
89	560	5663
90	565	5652
91	571	5640
92	578	5637
93	583	5625
94	589	5613
95	595	5607
96	600	5590
97	606	5579
98	611	5566
99	617	5553
100	622	5541
101	628	5531
102	633	5517
103	639	5505
104	644	5497
105	650	5483
106	655	5473
107	662	5471
108	668	5465
109	674	5456
110	679	5443
111	684	5430
112	690	5416
113	695	5401
114	701	5395
115	705	5373
116	710	5361
117	715	5351
118	721	5339
119	726	5327
120	732	5323
121	738	5312
122	743	5302
123	749	5295
124	755	5288
125	761	5282
126	767	5273
127	772	5264
128	778	5255
129	783	5243
130	789	5234
131	794	5224
132	799	5212
133	805	5205
134	810	5191
135	815	5182
136	821	5177
137	827	5167
138	832	5157
139	838	5149
140	843	5141
141	849	5134
142	855	5126
143	860	5115
144	865	5105
145	870	5093
146	875	5083
147	881	5074
148	886	5064
149	892	5057
150	897	5047
151	904	5046
152	910	5041
153	916	5032
154	921	5022
155	926	5013
156	932	5008
157	938	4998
158	943	4990
159	949	4983
160	954	4976
161	960	4969
162	966	4962
163	971	4953
164	977	4944
165	982	4935
166	987	4927
167	993	4919
168	998	4910
169	1004	4904
170	1010	4898
171	1016	4895
172	1022	4887
173	1027	4878
174	1033	4874
175	1039	4865
176	1045	4860
177	1050	4852
178	1056	4844
179	1062	4838
180	1067	4830
181	1072	4820
182	1078	4813
183	1083	4807
184	1089	4799
185	1094	4790
186	1099	4779
187	1105	4775
188	1111	4768
189	1117	4761
190	1123	4756
191	1128	4750
192	1134	4743
193	1140	4736
194	1146	4732
195	1151	4724
196	1157	4718
197	1162	4709
198	1168	4702
199	1173	4695
200	1179	4688
201	1185	4684
202	1191	4678
203	1196	4668
204	1201	4660
205	1207	4654
206	1213	4647
207	1219	4643
208	1225	4636
209	1230	4628
210	1236	4622
211	1241	4614
212	1248	4611
213	1253	4605
214	1259	4600
215	1265	4593
216	1271	4586
217	1276	4579
218	1281	4571
219	1287	4563
220	1292	4556
221	1297	4546
222	1302	4537
223	1308	4533
224	1314	4527
225	1320	4521
226	1325	4514
227	1331	4508
228	1336	4500
229	1342	4495
230	1348	4489
231	1354	4484
232	1359	4476
233	1365	4471
234	1371	4466
235	1377	4459
236	1383	4454
237	1389	4448
238	1394	4441
239	1401	4436
240	1406	4429
241	1411	4421
242	1418	4418
243	1423	4411
244	1429	4405
245	1435	4398
246	1441	4393
247	1446	4386
248	1452	4380
249	1458	4375
250	1464	4369
251	1469	4362
252	1475	4356
253	1481	4351
254	1486	4344
255	1491	4336
256	1497	4328
257	1503	4323
258	1508	4317
259	1514	4310
260	1520	4306
261	1526	4299
262	1532	4295
263	1538	4288
264	1544	4284
265	1551	4279
266	1556	4274
267	1562	4268
268	1570	4267
269	1575	4260
270	1581	4255
271	1587	4249
272	1593	4244
273	1599	4237
274	1604	4230
275	1610	4225
276	1615	4217
277	1621	4211
278	1627	4206
279	1633	4201
280	1639	4194
281	1645	4189
282	1651	4183
283	1656	4177
284	1662	4171
285	1668	4165
286	1674	4159
287	1679	4152
288	1685	4146
289	1690	4138
290	1696	4133
291	1702	4127
292	1708	4121
293	1714	4116
294	1720	4111
295	1725	4104
296	1731	4097
297	1736	4091
298	1743	4086
299	1748	4080
300	1754	4075
301	1760	4070
302	1766	4063
303	1771	4055
304	1777	4050
305	1783	4045
306	1789	4040
307	1795	4033
308	1800	4026
309	1806	4019
310	1811	4014
311	1817	4008
312	1823	4003
313	1830	3999
314	1836	3992
315	1841	3986
316	1847	3981
317	1853	3974
318	1858	3967
319	1864	3961
320	1870	3956
321	1876	3950
322	1882	3944
323	1887	3938
324	1893	3932
325	1899	3927
326	1905	3921
327	1911	3916
328	1917	3910
329	1922	3903
330	1930	3901
331	1936	3895
332	1941	3888
333	1946	3881
334	1951	3874
335	1958	3870
336	1964	3864
337	1970	3858
338	1975	3852
339	1981	3845
340	1987	3840
341	1993	3834
342	1998	3827
343	2004	3822
344	2009	3816
345	2016	3811
346	2021	3804
347	2027	3797
348	2032	3790
349	2038	3784
350	2043	3777
351	2048	3771
352	2055	3767
353	2061	3761
354	2067	3756
355	2072	3749
356	2078	3743
357	2083	3736
358	2089	3730
359	2094	3723
360	2099	3716
361	2105	3710
362	2110	3704
363	2116	3698
364	2122	3692
365	2128	3686
366	2133	3679
367	2139	3673
368	2145	3668
369	2151	3662
370	2156	3656
371	2161	3649
372	2167	3643
373	2172	3637
374	2178	3630
375	2184	3625
376	2189	3618
377	2195	3611
378	2199	3604
379	2205	3598
380	2211	3592
381	2216	3586
382	2222	3580
383	2227	3573
384	2233	3567
385	2239	3561
386	2245	3556
387	2250	3549
388	2256	3544
389	2263	3539
390	2268	3533
391	2274	3527
392	2279	3521
393	2284	3514
394	2290	3508
395	2296	3502
396	2301	3496
397	2307	3489
398	2313	3483
399	2319	3479
400	2325	3473
401	2331	3467
402	2337	3462
403	2343	3456
404	2348	3450
405	2354	3444
406	2360	3439
407	2366	3433
408	2371	3427
409	2378	3423
410	2384	3417
411	2390	3412
412	2396	3406
413	2402	3400
414	2408	3394
415	2414	3388
416	2420	3383
417	2425	3377
418	2431	3371
419	2439	3368
420	2445	3363
421	2451	3357
422	2458	3353
423	2463	3346
424	2469	3340
425	2474	3334
426	2481	3329
427	2486	3323
428	2491	3316
429	2497	3309
430	2502	3303
431	2507	3297
432	2513	3291
433	2520	3286
434	2526	3281
435	2532	3276
436	2538	3270
437	2544	3264
438	2550	3258
439	2556	3253
440	2562	3248
441	2568	3242
442	2574	3236
443	2580	3231
444	2586	3225
445	2591	3219
446	2597	3213
447	2603	3207
448	2608	3201
449	2614	3195
450	2620	3189
451	2626	3184
452	2632	3178
453	2638	3172
454	2643	3166
455	2649	3161
456	2655	3154
457	2661	3150
458	2668	3144
459	2674	3139
460	2679	3132
461	2685	3126
462	2691	3121
463	2696	3115
464	2702	3108
465	2708	3103
466	2713	3097
467	2719	3091
468	2724	3085
469	2730	3079
470	2736	3073
471	2742	3067
472	2747	3061
473	2753	3055
474	2759	3049
475	2765	3044
476	2771	3039
477	2777	3033
478	2783	3027
479	2789	3021
480	2794	3015
481	2801	3010
482	2806	3004
483	2812	2998
484	2818	2992
485	2824	2987
486	2830	2982
487	2837	2976
488	2842	2970
489	2849	2966
490	2856	2960
491	2863	2957
492	2870	2952
493	2876	2946
494	2882	2941
495	2888	2935
496	2895	2930
497	2901	2925
498	2908	2920
499	2913	2913
500	2919	2908
501	2925	2902
502	2931	2896
503	2937	2890
504	2943	2884
505	2948	2878
506	2954	2872
507	2960	2867
508	2966	2861
509	2972	2856
510	2978	2850
511	2984	2844
